Old,New,Introduced
CgUtils,GHC.StgToCmm.CgUtils,8.10.1
Check,GHC.HsToCore.PmCheck,8.10.1
CodeGen.Platform,GHC.Platform.Regs,8.10.1
CodeGen.Platform.ARM,GHC.Platform.ARM,8.10.1
CodeGen.Platform.ARM64,GHC.Platform.ARM64,8.10.1
CodeGen.Platform.NoRegs,GHC.Platform.NoRegs,8.10.1
CodeGen.Platform.PPC,GHC.Platform.PPC,8.10.1
CodeGen.Platform.SPARC,GHC.Platform.SPARC,8.10.1
CodeGen.Platform.X86,GHC.Platform.X86,8.10.1
CodeGen.Platform.X86_64,GHC.Platform.X86_64,8.10.1
Convert,GHC.ThToHs,8.10.1
HsBinds,GHC.Hs.Binds,8.10.1
HsDecls,GHC.Hs.Decls,8.10.1
HsDoc,GHC.Hs.Doc,8.10.1
HsDumpAst,GHC.Hs.Dump,8.10.1
HsExpr,GHC.Hs.Expr,8.10.1
HsExtension,GHC.Hs.Extension,8.10.1
HsImpExp,GHC.Hs.ImpExp,8.10.1
HsInstances,GHC.Hs.Instances,8.10.1
HsLit,GHC.Hs.Lit,8.10.1
HsPat,GHC.Hs.Pat,8.10.1
HsSyn,GHC.Hs,8.10.1
HsTypes,GHC.Hs.Types,8.10.1
HsUtils,GHC.Hs.Utils,8.10.1
PlaceHolder,GHC.Hs.PlaceHolder,8.10.1
PmOracle,GHC.HsToCore.PmCheck.Oracle,8.10.1
PmPpr,GHC.HsToCore.PmCheck.Ppr,8.10.1
PmTypes,GHC.HsToCore.PmCheck.Types,8.10.1
StgCmm,GHC.StgToCmm,8.10.1
StgCmmArgRep,GHC.StgToCmm.ArgRep,8.10.1
StgCmmBind,GHC.StgToCmm.Bind,8.10.1
StgCmmClosure,GHC.StgToCmm.Closure,8.10.1
StgCmmCon,GHC.StgToCmm.DataCon,8.10.1
StgCmmEnv,GHC.StgToCmm.Env,8.10.1
StgCmmExpr,GHC.StgToCmm.Expr,8.10.1
StgCmmExtCode,GHC.StgToCmm.ExtCode,8.10.1
StgCmmForeign,GHC.StgToCmm.Foreign,8.10.1
StgCmmHeap,GHC.StgToCmm.Heap,8.10.1
StgCmmHpc,GHC.StgToCmm.Hpc,8.10.1
StgCmmLayout,GHC.StgToCmm.Layout,8.10.1
StgCmmMonad,GHC.StgToCmm.Monad,8.10.1
StgCmmPrim,GHC.StgToCmm.Prim,8.10.1
StgCmmProf,GHC.StgToCmm.Prof,8.10.1
StgCmmTicky,GHC.StgToCmm.Ticky,8.10.1
StgCmmUtils,GHC.StgToCmm.Utils,8.10.1
GHC.Platform.ARM64,GHC.Platform.AArch64,8.10.5
Annotations,GHC.Types.Annotations,9.0.1
Ar,GHC.SysTools.Ar,9.0.1
AsmCodeGen,GHC.CmmToAsm,9.0.1
AsmUtils,GHC.Utils.Asm,9.0.1
Avail,GHC.Types.Avail,9.0.1
Bag,GHC.Data.Bag,9.0.1
Basic,GHC.Types.Basic,9.0.1
BasicTypes,GHC.Types.Basic,9.0.1
Binary,GHC.Utils.Binary,9.0.1
BinIface,GHC.Iface.Binary,9.0.1
BitMap,GHC.Data.Bitmap,9.0.1
BkpSyn,GHC.Driver.Backpack.Syntax,9.0.1
BlockId,GHC.Cmm.BlockId,9.0.1
BlockLayout,GHC.CmmToAsm.BlockLayout,9.0.1
BooleanFormula,GHC.Data.BooleanFormula,9.0.1
BufWrite,GHC.Utils.BufHandle,9.0.1
ByteCodeAsm,GHC.ByteCode.Asm,9.0.1
ByteCodeGen,GHC.CoreToByteCode,9.0.1
ByteCodeInstr,GHC.ByteCode.Instr,9.0.1
ByteCodeItbls,GHC.ByteCode.InfoTable,9.0.1
ByteCodeLink,GHC.ByteCode.Linker,9.0.1
ByteCodeTypes,GHC.ByteCode.Types,9.0.1
CFG,GHC.CmmToAsm.CFG,9.0.1
CLabel,GHC.Cmm.CLabel,9.0.1
Class,GHC.Core.Class,9.0.1
CliOption,GHC.Utils.CliOption,9.0.1
CmdLineParser,GHC.Driver.CmdLine,9.0.1
Cmm,GHC.Cmm,9.0.1
CmmBuildInfoTables,GHC.Cmm.Info.Build,9.0.1
CmmCallConv,GHC.Cmm.CallConv,9.0.1
CmmCommonBlockElim,GHC.Cmm.CommonBlockElim,9.0.1
CmmContFlowOpt,GHC.Cmm.ContFlowOpt,9.0.1
CmmExpr,GHC.Cmm.Expr,9.0.1
CmmImplementSwitchPlans,GHC.Cmm.Switch.Implement,9.0.1
CmmInfo,GHC.Cmm.Info,9.0.1
CmmLayoutStack,GHC.Cmm.LayoutStack,9.0.1
CmmLex,GHC.Cmm.Lexer,9.0.1
CmmLint,GHC.Cmm.Lint,9.0.1
CmmLive,GHC.Cmm.Liveness,9.0.1
CmmMachOp,GHC.Cmm.MachOp,9.0.1
CmmMonad,GHC.Cmm.Monad,9.0.1
CmmNode,GHC.Cmm.Node,9.0.1
CmmOpt,GHC.Cmm.Opt,9.0.1
CmmParse,GHC.Cmm.Parser,9.0.1
CmmPipeline,GHC.Cmm.Pipeline,9.0.1
CmmProcPoint,GHC.Cmm.ProcPoint,9.0.1
CmmSink,GHC.Cmm.Sink,9.0.1
CmmSwitch,GHC.Cmm.Switch,9.0.1
CmmType,GHC.Cmm.Type,9.0.1
CmmUtils,GHC.Cmm.Utils,9.0.1
CoAxion,GHC.Core.Coercion.Axiom,9.0.1
CodeOutput,GHC.Driver.CodeOutput,9.0.1
Coercion,GHC.Core.Coercion,9.0.1
Config,GHC.Settings.Config,9.0.1
ConLike,GHC.Core.ConLike,9.0.1
Constants,GHC.Settings.Constants,9.0.1
CoreArity,GHC.Core.Opt.Arity,9.0.1
CoreFVs,GHC.Core.FVs,9.0.1
CoreLint,GHC.Core.Lint,9.0.1
CoreMap,GHC.Core.Map,9.0.1
CoreMonad,GHC.Core.Opt.Monad,9.0.1
CoreOpt,GHC.Core.SimpleOpt,9.0.1
CorePrep,GHC.CoreToStg.Prep,9.0.1
CoreSeq,GHC.Core.Seq,9.0.1
CoreStats,GHC.Core.Stats,9.0.1
CoreSubst,GHC.Core.Subst,9.0.1
CoreSyn,GHC.Core,9.0.1
CoreTidy,GHC.Core.Tidy,9.0.1
CoreToStg,GHC.CoreToStg,9.0.1
CoreUnfold,GHC.Core.Unfold,9.0.1
CoreUtils,GHC.Core.Utils,9.0.1
CostCentre,GHC.Types.CostCentre,9.0.1
CostCentreState,GHC.Types.CostCentre.State,9.0.1
Coverage,GHC.HsToCore.Coverage,9.0.1
Cpr,GHC.Types.Cpr,9.0.1
CPrim,GHC.CmmToAsm.CPrim,9.0.1
CType,GHC.Parser.CharClass,9.0.1
DataCon,GHC.Core.DataCon,9.0.1
Debug,GHC.Cmm.DebugBlock,9.0.1
Debugger,GHC.Runtime.Debugger,9.0.1
Demand,GHC.Types.Demand,9.0.1
Desugar,GHC.HsToCore,9.0.1
DiGraph,GHC.Data.Graph.Directed,9.0.1
Dominators,GHC.CmmToAsm.CFG.Dominators,9.0.1
DriverBkp,GHC.Driver.Backpack,9.0.1
DriverMkDepend,GHC.Driver.MakeFile,9.0.1
DriverPhases,GHC.Driver.Phases,9.0.1
DriverPipeline,GHC.Driver.Pipeline,9.0.1
DsArrows,GHC.HsToCore.Arrows,9.0.1
DsBinds,GHC.HsToCore.Binds,9.0.1
DsCCall,GHC.HsToCore.Foreign.Call,9.0.1
DsExpr,GHC.HsToCore.Expr,9.0.1
DsForeign,GHC.HsToCore.Foreign.Decl,9.0.1
DsGRHSs,GHC.HsToCore.GuardedRHSs,9.0.1
DsListComp,GHC.HsToCore.ListComp,9.0.1
DsMeta,GHC.HsToCore.Quote,9.0.1
DsMonad,GHC.HsToCore.Monad,9.0.1
DsUsage,GHC.HsToCore.Usage,9.0.1
DsUtils,GHC.HsToCore.Utils,9.0.1
Dwarf,GHC.CmmToAsm.Dwarf,9.0.1
Dwarf.Constants,GHC.CmmToAsm.Dwarf.Constants,9.0.1
Dwarf.Types,GHC.CmmToAsm.Dwarf.Types,9.0.1
DynamicLoading,GHC.Runtime.Loader,9.0.1
DynFlags,GHC.Driver.Session,9.0.1
Elf,GHC.SysTools.Elf,9.0.1
Encoding,GHC.Utils.Encoding,9.0.1
EnumSet,GHC.Data.EnumSet,9.0.1
ErrUtils,GHC.Utils.Error,9.0.1
Exception,GHC.Utils.Exception,9.0.1
ExtractDocs,GHC.HsToCore.Docs,9.0.1
FamInstEnv,GHC.Core.FamInstEnv,9.0.1
FastFunctions,GHC.Utils.IO.Unsafe,9.0.1
FastMutInt,GHC.Data.FastMutInt,9.0.1
FastString,GHC.Data.FastString,9.0.1
FastStringEnv,GHC.Data.FastString.Env,9.0.1
FieldLabel,GHC.Types.FieldLabel,9.0.1
